year,product_chapter,exporter,value_trln_USD
1996,58,SGP,0.00000002
1996,58,NZL,0.00000001
1996,59,AUS,0.00000002
1996,59,NZL,0.00000000
1996,59,SGP,0.00000000
1996,60,AUS,0.00000001
1996,60,NZL,0.00000000
1996,61,SGP,0.00000018
1996,61,HKG,0.00000017
1996,61,THA,0.00000012
1996,61,NZL,0.00000004
1996,61,AUS,0.00000003
1996,61,Other,0.00000001
1996,62,SGP,0.00000045
1996,62,HKG,0.00000018
1996,62,AUS,0.00000006
1996,62,NZL,0.00000003
1996,62,THA,0.00000001
1996,62,Other,0.00000000
1996,63,HKG,0.00000017
1996,63,AUS,0.00000017
1996,63,BGD,0.00000008
1996,63,NZL,0.00000008
1996,63,THA,0.00000006
1996,63,Other,0.00000008
1996,64,HKG,0.00000025
1996,64,NZL,0.00000009
1996,64,SGP,0.00000009
1996,64,AUS,0.00000007
1996,64,JPN,0.00000003
1996,64,Other,0.00000003
1996,65,AUS,0.00000001
1996,65,NZL,0.00000000
1996,65,SGP,0.00000000
1996,66,HKG,0.00000003
1996,66,SGP,0.00000001
1996,66,AUS,0.00000000
1996,66,NZL,0.00000000
1996,67,HKG,0.00000001
1996,67,FRA,0.00000000
1996,67,SGP,0.00000000
1996,67,AUS,0.00000000
1996,67,NZL,0.00000000
1996,68,AUS,0.00000009
1996,68,NZL,0.00000006
1996,68,PHL,0.00000001
1996,69,AUS,0.00000010
1996,69,ITA,0.00000005
1996,69,HKG,0.00000004
1996,69,ESP,0.00000003
1996,69,FRA,0.00000002
1996,69,Other,0.00000003
1996,70,AUS,0.00000035
1996,70,NZL,0.00000012
1996,70,FRA,0.00000010
1996,70,SGP,0.00000004
1996,70,CHN,0.00000002
1996,70,Other,0.00000001
1996,71,AUS,0.00000019
1996,71,NZL,0.00000002
1996,71,DEU,0.00000002
1996,71,CHE,0.00000002
1996,71,THA,0.00000001
1996,71,Other,0.00000002
1996,72,NZL,0.00000087
1996,72,AUS,0.00000018
1996,72,JPN,0.00000006
1996,72,KOR,0.00000005
1996,72,FRA,0.00000002
1996,72,Other,0.00000003
1996,73,AUS,0.00000087
1996,73,NZL,0.00000076
1996,73,JPN,0.00000010
1996,73,HKG,0.00000008
1996,73,ITA,0.00000007
1996,73,Other,0.00000017
1996,74,AUS,0.00000008
1996,74,USA,0.00000003
1996,74,NZL,0.00000001
1996,74,HKG,0.00000000
1996,75,AUS,0.00000000
1996,76,NZL,0.00000024
1996,76,AUS,0.00000018
1996,76,CHN,0.00000009
1996,76,SGP,0.00000004
1996,76,FRA,0.00000002
1996,76,Other,0.00000001
1996,78,AUS,0.00000000
1996,79,NZL,0.00000001
1996,79,AUS,0.00000000
1996,80,NZL,0.00000002
1996,80,AUS,0.00000001
1996,81,CAN,0.00000006
1996,81,SGP,0.00000000
1996,81,NOR,0.00000000
1996,81,NZL,0.00000000
1996,81,AUS,0.00000000
1996,82,FRA,0.00000018
1996,82,AUS,0.00000009
1996,82,HKG,0.00000007
1996,82,NZL,0.00000006
1996,82,SGP,0.00000006
1996,82,Other,0.00000009
1996,83,AUS,0.00000012
1996,83,NZL,0.00000008
1996,83,FRA,0.00000004
1996,83,HKG,0.00000002
1996,83,JPN,0.00000001
1996,83,Other,0.00000002
1996,84,AUS,0.00000395
1996,84,NZL,0.00000114
1996,84,JPN,0.00000091
1996,84,FRA,0.00000067
1996,84,MYS,0.00000039
1996,84,Other,0.00000154
1996,85,AUS,0.00000164
1996,85,FRA,0.00000164
1996,85,KOR,0.00000116
1996,85,SGP,0.00000046
1996,85,NOR,0.00000037
1996,85,Other,0.00000088
1996,86,AUS,0.00000001
1996,87,JPN,0.00000373
1996,87,KOR,0.00000160
1996,87,AUS,0.00000069
1996,87,CZE,0.00000019
1996,87,NZL,0.00000014
1996,87,Other,0.00000030
1996,88,AUS,0.00000055
1996,88,RUS,0.00000010
1996,88,USA,0.00000001
1996,88,NZL,0.00000001
1996,88,JPN,0.00000000
1996,89,JPN,0.00006310
1996,89,DNK,0.00000355
1996,89,AUS,0.00000041
1996,89,RUS,0.00000014
1996,89,PYF,0.00000013
1996,89,Other,0.00000014
1996,90,AUS,0.00000086
1996,90,FRA,0.00000026
1996,90,JPN,0.00000019
1996,90,NZL,0.00000011
1996,90,USA,0.00000009
1996,90,Other,0.00000009
1996,91,AUS,0.00000017
1996,91,SGP,0.00000005
1996,91,CHE,0.00000004
1996,91,HKG,0.00000001
1996,91,JPN,0.00000000
1996,92,NZL,0.00000001
1996,92,AUS,0.00000001
1996,92,SGP,0.00000000
1996,92,HKG,0.00000000
1996,92,JPN,0.00000000
1996,92,Other,0.00000000
1996,93,AUS,0.00000002
1996,93,USA,0.00000000
1996,94,AUS,0.00000050
1996,94,HKG,0.00000021
1996,94,NZL,0.00000011
1996,94,PHL,0.00000010
1996,94,USA,0.00000009
1996,94,Other,0.00000017
1996,95,AUS,0.00000024
1996,95,HKG,0.00000018
1996,95,NZL,0.00000007
1996,95,FRA,0.00000007
1996,95,SGP,0.00000003
1996,95,Other,0.00000004
1996,96,AUS,0.00000014
1996,96,NZL,0.00000002
1996,96,HKG,0.00000002
1996,96,SGP,0.00000001
1996,96,DEU,0.00000001
1996,96,Other,0.00000002
1996,97,NZL,0.00000000
1996,97,AUS,0.00000000
1997,10,NZL,0.00000008
1997,11,AUS,0.00000074
1997,11,NZL,0.00000003
1997,11,FRA,0.00000001
1997,12,AUS,0.00000018
1997,12,NZL,0.00000003
1997,12,SGP,0.00000000
1997,13,AUS,0.00000000
1997,14,AUS,0.00000000
